Date,Open,High,Low,Close,Adj Close,Volume
2018-04-03,258.869995,261.309998,256.839996,260.769989,236.048279,119956900
2018-04-04,256.75,264.359985,256.600006,263.559998,238.573792,123715300
2018-04-05,265.549988,266.640015,264.320007,265.640015,240.45665,82652600
2018-04-06,263.420013,265.109985,258.0,259.720001,235.0979,179521200
2018-04-09,261.369995,264.839996,259.940002,261.0,236.256516,105442900
2018-04-10,264.269989,266.040009,262.980011,265.149994,240.013062,103529000
2018-04-11,263.470001,265.640015,263.390015,263.76001,238.754852,91140200
2018-04-12,265.26001,267.0,265.059998,265.929993,240.719193,68890500
2018-04-13,267.410004,267.540009,264.01001,265.149994,240.013062,85079200
2018-04-16,267.0,268.200012,266.070007,267.329987,241.986359,63405300
2018-04-17,269.329987,270.869995,268.75,270.190002,244.575226,64682000
2018-04-18,270.690002,271.299988,269.869995,270.390015,244.756302,57303900
2018-04-19,269.649994,269.880005,267.720001,268.890015,243.398468,77655900
2018-04-20,268.809998,269.059998,265.609985,266.609985,241.334671,99953100
2018-04-23,267.26001,267.890015,265.350006,266.570007,241.298431,65558000
2018-04-24,267.730011,267.980011,261.279999,262.980011,238.048782,112885500
2018-04-25,262.910004,264.130005,260.850006,263.630005,238.637146,103840900
2018-04-26,264.790009,267.25,264.290009,266.309998,241.06308,67731900
2018-04-27,267.0,267.339996,265.5,266.559998,241.289413,57053600
2018-04-30,267.26001,267.890015,264.429993,264.51001,239.433701,82182300
2018-05-01,263.869995,265.100006,262.109985,264.980011,239.859177,74203400
2018-05-02,264.76001,265.679993,262.76001,263.200012,238.24791,86368900
2018-05-03,262.26001,263.359985,259.049988,262.619995,237.722946,136311500
2018-05-04,261.519989,266.790009,261.149994,266.019989,240.800613,91222100
2018-05-07,266.890015,268.019989,266.109985,266.920013,241.615326,55304900
2018-05-08,266.5,267.329987,265.149994,266.920013,241.615326,67499200
2018-05-09,267.679993,269.869995,267.089996,269.5,243.950653,59666100
2018-05-10,270.339996,272.390015,270.220001,272.019989,246.23175,72063900
2018-05-11,272.160004,273.149994,271.579987,272.850006,246.983124,59871500
2018-05-14,273.339996,274.079987,272.359985,272.980011,247.100739,54790600
2018-05-15,271.589996,271.609985,270.029999,271.100006,245.399002,87036100
2018-05-16,271.140015,272.76001,271.109985,272.23999,246.430878,53942600
2018-05-17,271.940002,273.230011,271.130005,272.01001,246.222763,56536400
2018-05-18,271.619995,272.029999,270.929993,271.329987,245.607193,64368000
2018-05-21,273.01001,273.980011,272.570007,273.369995,247.453781,58025900
2018-05-22,273.959991,274.25,272.23999,272.609985,246.765839,52966400
2018-05-23,271.170013,273.390015,270.98999,273.359985,247.444687,64694200
2018-05-24,272.910004,273.220001,270.779999,272.799988,246.937836,76043800
2018-05-25,272.149994,272.859985,271.579987,272.149994,246.349442,56374800
2018-05-29,270.309998,271.170013,267.76001,269.019989,243.516129,115908600
2018-05-30,270.5,273.109985,270.420013,272.609985,246.765839,69678400
2018-05-31,272.149994,272.48999,270.26001,270.940002,245.254135,93519900
2018-06-01,272.410004,273.940002,272.329987,273.600006,247.661987,71258400
2018-06-04,274.529999,275.190002,274.26001,274.899994,248.838669,45385200
2018-06-05,275.049988,275.529999,274.179993,275.100006,249.019714,51135000
2018-06-06,275.790009,277.519989,275.089996,277.399994,251.10173,62732200
2018-06-07,277.950012,278.279999,276.339996,277.369995,251.074631,72969400
2018-06-08,276.850006,278.25,276.660004,278.190002,251.81691,72139700
2018-06-11,278.440002,279.369995,278.309998,278.559998,252.151779,58892500
2018-06-12,279.029999,279.329987,278.190002,278.920013,252.477631,72329000
2018-06-13,279.190002,279.480011,277.799988,278.029999,251.672028,79070600
